Date,Close,High,Low,Open,Volume
26-07-2023,192.8244476,193.9546263,191.6546202,192.001596,47471900
27-07-2023,191.555481,195.5011905,190.8912546,194.331363,47460200
28-07-2023,194.1430206,194.936132,192.4675767,192.9930098,48291400
31-07-2023,194.7576599,194.7973238,193.5779089,194.3710202,38824100
01-08-2023,193.924881,195.0352277,193.597722,194.5494586,35175100
02-08-2023,190.92099,193.4985828,190.1972829,193.3597894,50389300
03-08-2023,189.5231323,190.7127917,189.0472716,189.9196955,61235200
04-08-2023,180.4222107,185.7657767,180.3528065,183.9217995,115799700
07-08-2023,177.3092651,181.552393,175.8221872,180.5610077,97576100
08-08-2023,178.2510834,178.7170357,176.0502068,178.1420304,67823000
09-08-2023,176.6549377,179.3713236,175.4850953,179.3118429,60378500
10-08-2023,176.4368286,179.1928783,176.0700209,177.9338148,54686900
11-08-2023,176.4964142,177.320377,175.265446,176.0298478,51988100
14-08-2023,178.1542664,178.3825886,176.0199005,176.6751021,43675600
15-08-2023,176.1588745,178.1741031,175.761791,177.5784777,43622600
16-08-2023,175.2852936,177.240946,175.2157956,175.8412166,46964900
17-08-2023,172.7339935,176.2184497,172.2177728,175.8511466,66062900
18-08-2023,173.2204132,173.8259754,170.7088227,171.0463453,61114200
21-08-2023,174.5605927,174.8484911,172.4758812,173.796206,46311900
22-08-2023,175.9404755,176.3871982,174.9676102,175.7717142,42084200
23-08-2023,179.8021851,180.2290643,177.0324915,177.2211115,52722800
24-08-2023,175.0966644,179.7823229,174.7293462,179.3554437,54945800
25-08-2023,177.3104401,177.8465044,174.5407467,176.0893937,51449600
28-08-2023,178.8789673,179.2760509,177.2509003,178.7796888,43820700
29-08-2023,182.7803497,183.5546733,178.1939694,178.3925112,53003900
30-08-2023,186.2846832,186.4832402,183.3958674,183.5944092,60813900
31-08-2023,186.5030518,187.7439567,186.11589,186.4732712,60794500
01-09-2023,188.0815277,188.5381723,186.9101053,188.1113082,45732600
05-09-2023,188.3197479,188.5977094,186.2449583,186.9100816,45280000
06-09-2023,181.5791473,187.4759302,180.1496224,187.0291923,81755800
07-09-2023,176.2680664,176.9133461,172.2773118,173.9053785,112488800
08-09-2023,176.8835602,178.9285844,176.4963984,177.0523366,65551300
11-09-2023,178.0549774,178.9881404,176.0496707,178.7598181,58953100
12-09-2023,175.0172577,178.8193927,173.5480303,178.1840499,90370200
13-09-2023,172.9424591,176.0099727,172.7141217,175.2257122,84267900
14-09-2023,174.4613342,174.8187155,172.3170466,172.7339889,60895800
15-09-2023,173.7366333,175.2157976,172.5553044,175.1959389,109205100
18-09-2023,176.6750946,178.0748391,174.8881883,175.1959304,67257600
19-09-2023,177.7671051,178.3230282,175.841218,176.2283798,51826900
20-09-2023,174.21315,178.3925098,174.1237933,177.9557088,58436200
